Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Unnamed: 15,Unnamed: 16,Datetime
10/03/2004,18.00.00,,1360.0,150.0,,1046.0,166.0,1056.0,113.0,1692.0,1268.0,"13,6","48,9","0,7578",,,2004-10-03
10/03/2004,19.00.00,2.0,1292.0,112.0,,955.0,103.0,1174.0,92.0,1559.0,972.0,"13,3","47,7","0,7255",,,2004-10-03
10/03/2004,20.00.00,,1402.0,88.0,,939.0,131.0,1140.0,114.0,1555.0,1074.0,"11,9","54,0","0,7502",,,2004-10-03
10/03/2004,21.00.00,,1376.0,80.0,,948.0,172.0,1092.0,122.0,1584.0,1203.0,"11,0","60,0","0,7867",,,2004-10-03
10/03/2004,22.00.00,,1272.0,51.0,,836.0,131.0,1205.0,116.0,1490.0,1110.0,"11,2","59,6","0,7888",,,2004-10-03
10/03/2004,23.00.00,,1197.0,38.0,,750.0,89.0,1337.0,96.0,1393.0,949.0,"11,2","59,2","0,7848",,,2004-10-03
11/03/2004,00.00.00,,1185.0,31.0,,690.0,62.0,1462.0,77.0,1333.0,733.0,"11,3","56,8","0,7603",,,2004-11-03
11/03/2004,01.00.00,1.0,1136.0,31.0,,672.0,62.0,1453.0,76.0,1333.0,730.0,"10,7","60,0","0,7702",,,2004-11-03
11/03/2004,02.00.00,,1094.0,24.0,,609.0,45.0,1579.0,60.0,1276.0,620.0,"10,7","59,7","0,7648",,,2004-11-03
11/03/2004,03.00.00,,1010.0,19.0,,561.0,,1705.0,,1235.0,501.0,"10,3","60,2","0,7517",,,2004-11-03
11/03/2004,04.00.00,-200.0,1011.0,14.0,,527.0,21.0,1818.0,34.0,1197.0,445.0,"10,1","60,5","0,7465",,,2004-11-03
11/03/2004,05.00.00,,1066.0,8.0,,512.0,16.0,1918.0,28.0,1182.0,422.0,"11,0","56,2","0,7366",,,2004-11-03
11/03/2004,06.00.00,,1052.0,16.0,,553.0,34.0,1738.0,48.0,1221.0,472.0,"10,5","58,1","0,7353",,,2004-11-03
11/03/2004,07.00.00,,1144.0,29.0,,667.0,98.0,1490.0,82.0,1339.0,730.0,"10,2","59,6","0,7417",,,2004-11-03
11/03/2004,08.00.00,2.0,1333.0,64.0,,900.0,174.0,1136.0,112.0,1517.0,1102.0,"10,8","57,4","0,7408",,,2004-11-03
11/03/2004,09.00.00,,1351.0,87.0,,960.0,129.0,1079.0,101.0,1583.0,1028.0,"10,5","60,6","0,7691",,,2004-11-03
11/03/2004,10.00.00,,1233.0,77.0,,827.0,112.0,1218.0,98.0,1446.0,860.0,"10,8","58,4","0,7552",,,2004-11-03
11/03/2004,11.00.00,,1179.0,43.0,,762.0,95.0,1328.0,92.0,1362.0,671.0,"10,5","57,9","0,7352",,,2004-11-03
11/03/2004,12.00.00,,1236.0,61.0,,774.0,104.0,1301.0,95.0,1401.0,664.0,"9,5","66,8","0,7951",,,2004-11-03
11/03/2004,13.00.00,,1286.0,63.0,,869.0,146.0,1162.0,112.0,1537.0,799.0,"8,3","76,4","0,8393",,,2004-11-03
11/03/2004,14.00.00,,1371.0,164.0,,1034.0,207.0,983.0,128.0,1730.0,1037.0,"8,0","81,1","0,8736",,,2004-11-03
11/03/2004,15.00.00,,1310.0,79.0,,933.0,184.0,1082.0,126.0,1647.0,946.0,"8,3","79,8","0,8778",,,2004-11-03
11/03/2004,16.00.00,,1292.0,95.0,,912.0,193.0,1103.0,131.0,1591.0,957.0,"9,7","71,2","0,8569",,,2004-11-03
11/03/2004,17.00.00,,1383.0,150.0,,1020.0,243.0,1008.0,135.0,1719.0,1104.0,"9,8","67,6","0,8185",,,2004-11-03
11/03/2004,18.00.00,,1581.0,307.0,,1319.0,281.0,799.0,151.0,2083.0,1409.0,"10,3","64,2","0,8065",,,2004-11-03
11/03/2004,19.00.00,,1776.0,461.0,,1488.0,383.0,702.0,172.0,2333.0,1704.0,"9,7","69,3","0,8319",,,2004-11-03
11/03/2004,20.00.00,,1640.0,401.0,,1404.0,351.0,743.0,165.0,2191.0,1654.0,"9,6","67,8","0,8133",,,2004-11-03
11/03/2004,21.00.00,,1313.0,197.0,,1076.0,240.0,957.0,136.0,1707.0,1285.0,"9,1","64,0","0,7419",,,2004-11-03
11/03/2004,22.00.00,,965.0,61.0,,749.0,94.0,1325.0,85.0,1333.0,821.0,"8,2","63,4","0,6905",,,2004-11-03
11/03/2004,23.00.00,1.0,913.0,26.0,,629.0,47.0,1565.0,53.0,1252.0,552.0,"8,2","60,8","0,6657",,,2004-11-03
12/03/2004,00.00.00,,1080.0,55.0,,805.0,122.0,1254.0,97.0,1375.0,816.0,"8,3","58,5","0,6438",,,2004-12-03
12/03/2004,01.00.00,,1044.0,53.0,,829.0,133.0,1247.0,110.0,1378.0,832.0,"7,7","59,7","0,6308",,,2004-12-03
12/03/2004,02.00.00,,988.0,40.0,,718.0,82.0,1396.0,91.0,1304.0,692.0,"7,1","61,8","0,6276",,,2004-12-03
12/03/2004,03.00.00,,889.0,21.0,,574.0,,1680.0,,1187.0,512.0,"7,0","62,3","0,6261",,,2004-12-03
12/03/2004,04.00.00,-200.0,831.0,10.0,,506.0,21.0,1893.0,32.0,1134.0,384.0,"6,1","65,9","0,6248",,,2004-12-03
12/03/2004,05.00.00,,847.0,7.0,,501.0,30.0,1895.0,44.0,1155.0,394.0,"6,3","65,0","0,6233",,,2004-12-03
12/03/2004,06.00.00,,927.0,17.0,,571.0,56.0,1685.0,71.0,1223.0,487.0,"6,8","62,9","0,6234",,,2004-12-03
12/03/2004,07.00.00,,1091.0,33.0,,730.0,109.0,1387.0,104.0,1361.0,748.0,"6,4","65,1","0,6316",,,2004-12-03
12/03/2004,08.00.00,,1587.0,202.0,,1236.0,307.0,897.0,141.0,1900.0,1400.0,"7,3","63,1","0,6499",,,2004-12-03
12/03/2004,09.00.00,-200.0,1545.0,,,1353.0,,767.0,,2058.0,1588.0,"9,2","56,2","0,6561",,,2004-12-03
12/03/2004,10.00.00,,1350.0,208.0,,1118.0,187.0,912.0,122.0,1712.0,1237.0,"13,2","41,7","0,6320",,,2004-12-03
12/03/2004,11.00.00,,1263.0,166.0,,1037.0,216.0,969.0,143.0,1598.0,1167.0,"14,3","38,4","0,6243",,,2004-12-03
12/03/2004,12.00.00,,1206.0,114.0,,986.0,143.0,1035.0,113.0,1537.0,959.0,"15,0","36,5","0,6195",,,2004-12-03
12/03/2004,13.00.00,,1252.0,140.0,,1016.0,160.0,1008.0,116.0,1593.0,983.0,"16,1","34,5","0,6262",,,2004-12-03
12/03/2004,14.00.00,,1287.0,169.0,,1078.0,163.0,949.0,123.0,1660.0,1061.0,"16,3","35,7","0,6560",,,2004-12-03
12/03/2004,15.00.00,,1353.0,185.0,,1122.0,190.0,922.0,126.0,1740.0,1139.0,"15,8","37,0","0,6610",,,2004-12-03
12/03/2004,16.00.00,,1309.0,165.0,,1073.0,178.0,954.0,120.0,1657.0,1112.0,"15,9","37,2","0,6657",,,2004-12-03
12/03/2004,17.00.00,,1274.0,133.0,,1041.0,150.0,1006.0,119.0,1610.0,994.0,"16,9","34,3","0,6549",,,2004-12-03
12/03/2004,18.00.00,,1510.0,233.0,,1277.0,206.0,812.0,149.0,1910.0,1410.0,"15,1","39,6","0,6766",,,2004-12-03
12/03/2004,19.00.00,,1525.0,242.0,,1246.0,202.0,821.0,145.0,1847.0,1448.0,"14,4","43,4","0,7084",,,2004-12-03
12/03/2004,20.00.00,,1843.0,488.0,,1610.0,340.0,624.0,170.0,2390.0,1887.0,"12,9","50,5","0,7478",,,2004-12-03
12/03/2004,21.00.00,,1598.0,333.0,,1299.0,274.0,752.0,149.0,1941.0,1627.0,"12,1","53,3","0,7536",,,2004-12-03
